序号,回测期号,回测方法,回测期数,回测结果排名,回测结果值,下期期号,下期后区开奖号,是否正确,正确的球,正确率
900,26033,倒数5期两球组合,30,最后1名,9,26034,11 8,否,,0%
901,26033,最新一期两球组合,20,第1名,7,26034,11 8,否,,0%
902,26033,最新一期两球组合,20,最后1名,5,26034,11 8,否,,0%
903,26033,倒数2期两球组合,20,第1名,1 12,26034,11 8,否,,0%
904,26033,倒数2期两球组合,20,最后1名,2,26034,11 8,否,,0%
905,26033,倒数3期两球组合,20,第1名,1,26034,11 8,否,,0%
906,26033,倒数3期两球组合,20,最后1名,8,26034,11 8,是,8,100.0%
907,26033,倒数4期两球组合,20,第1名,10,26034,11 8,否,,0%
908,26033,倒数4期两球组合,20,最后1名,4 9,26034,11 8,否,,0%
909,26033,倒数5期两球组合,20,第1名,2 11,26034,11 8,是,11,50.0%
910,26033,倒数5期两球组合,20,最后1名,1 9,26034,11 8,否,,0%
911,26033,最新一期两球组合,10,第1名,7,26034,11 8,否,,0%
912,26033,最新一期两球组合,10,最后1名,5,26034,11 8,否,,0%
913,26033,倒数2期两球组合,10,第1名,10,26034,11 8,否,,0%
914,26033,倒数2期两球组合,10,最后1名,6 9 11,26034,11 8,是,11,33.3%
915,26033,倒数3期两球组合,10,第1名,1,26034,11 8,否,,0%
916,26033,倒数3期两球组合,10,最后1名,4 10,26034,11 8,否,,0%
917,26033,倒数4期两球组合,10,第1名,3,26034,11 8,否,,0%
918,26033,倒数4期两球组合,10,最后1名,4 7 9,26034,11 8,否,,0%
919,26033,倒数5期两球组合,10,第1名,11,26034,11 8,是,11,100.0%
920,26033,倒数5期两球组合,10,最后1名,1,26034,11 8,否,,0%
921,26032,最新一期两球组合,50,第1名,3,26033,10 2,否,,0%
922,26032,最新一期两球组合,50,最后1名,7,26033,10 2,否,,0%
923,26032,倒数2期两球组合,50,第1名,9,26033,10 2,否,,0%
924,26032,倒数2期两球组合,50,最后1名,6 11,26033,10 2,否,,0%
925,26032,倒数3期两球组合,50,第1名,11,26033,10 2,否,,0%
926,26032,倒数3期两球组合,50,最后1名,9,26033,10 2,否,,0%
927,26032,倒数4期两球组合,50,第1名,4,26033,10 2,否,,0%
928,26032,倒数4期两球组合,50,最后1名,2 9,26033,10 2,是,2,50.0%
929,26032,倒数5期两球组合,50,第1名,6,26033,10 2,否,,0%
930,26032,倒数5期两球组合,50,最后1名,1,26033,10 2,否,,0%
931,26032,最新一期两球组合,30,第1名,10,26033,10 2,是,10,100.0%
932,26032,最新一期两球组合,30,最后1名,12,26033,10 2,否,,0%
933,26032,倒数2期两球组合,30,第1名,4,26033,10 2,否,,0%
934,26032,倒数2期两球组合,30,最后1名,11,26033,10 2,否,,0%
935,26032,倒数3期两球组合,30,第1名,5,26033,10 2,否,,0%
936,26032,倒数3期两球组合,30,最后1名,1 7 9,26033,10 2,否,,0%
937,26032,倒数4期两球组合,30,第1名,4,26033,10 2,否,,0%
938,26032,倒数4期两球组合,30,最后1名,9,26033,10 2,否,,0%
939,26032,倒数5期两球组合,30,第1名,8,26033,10 2,否,,0%
940,26032,倒数5期两球组合,30,最后1名,1,26033,10 2,否,,0%
941,26032,最新一期两球组合,20,第1名,2,26033,10 2,是,2,100.0%
942,26032,最新一期两球组合,20,最后1名,1,26033,10 2,否,,0%
943,26032,倒数2期两球组合,20,第1名,9,26033,10 2,否,,0%
944,26032,倒数2期两球组合,20,最后1名,2,26033,10 2,是,2,100.0%
945,26032,倒数3期两球组合,20,第1名,5,26033,10 2,否,,0%
946,26032,倒数3期两球组合,20,最后1名,11,26033,10 2,否,,0%
947,26032,倒数4期两球组合,20,第1名,4,26033,10 2,否,,0%
948,26032,倒数4期两球组合,20,最后1名,1 2 10,26033,10 2,是,2 10,66.7%
949,26032,倒数5期两球组合,20,第1名,8,26033,10 2,否,,0%
950,26032,倒数5期两球组合,20,最后1名,5,26033,10 2,否,,0%
951,26032,最新一期两球组合,10,第1名,10,26033,10 2,是,10,100.0%
952,26032,最新一期两球组合,10,最后1名,12,26033,10 2,否,,0%
953,26032,倒数2期两球组合,10,第1名,4,26033,10 2,否,,0%
954,26032,倒数2期两球组合,10,最后1名,7,26033,10 2,否,,0%
955,26032,倒数3期两球组合,10,第1名,5,26033,10 2,否,,0%
956,26032,倒数3期两球组合,10,最后1名,4 6 7 8,26033,10 2,否,,0%
957,26032,倒数4期两球组合,10,第1名,12,26033,10 2,否,,0%
958,26032,倒数4期两球组合,10,最后1名,1 4 7,26033,10 2,否,,0%
959,26032,倒数5期两球组合,10,第1名,8,26033,10 2,否,,0%
960,26032,倒数5期两球组合,10,最后1名,1 3 11 12,26033,10 2,否,,0%
961,26031,最新一期两球组合,50,第1名,11,26032,12 1,否,,0%
962,26031,最新一期两球组合,50,最后1名,1 8,26032,12 1,是,1,50.0%
963,26031,倒数2期两球组合,50,第1名,1,26032,12 1,是,1,100.0%
964,26031,倒数2期两球组合,50,最后1名,5 8,26032,12 1,否,,0%
965,26031,倒数3期两球组合,50,第1名,6,26032,12 1,否,,0%
966,26031,倒数3期两球组合,50,最后1名,4,26032,12 1,否,,0%
967,26031,倒数4期两球组合,50,第1名,9,26032,12 1,否,,0%
968,26031,倒数4期两球组合,50,最后1名,6,26032,12 1,否,,0%
969,26031,倒数5期两球组合,50,第1名,1,26032,12 1,是,1,100.0%
970,26031,倒数5期两球组合,50,最后1名,9,26032,12 1,否,,0%
971,26031,最新一期两球组合,30,第1名,10,26032,12 1,否,,0%
972,26031,最新一期两球组合,30,最后1名,1,26032,12 1,是,1,100.0%
973,26031,倒数2期两球组合,30,第1名,11,26032,12 1,否,,0%
974,26031,倒数2期两球组合,30,最后1名,2,26032,12 1,否,,0%
975,26031,倒数3期两球组合,30,第1名,1,26032,12 1,是,1,100.0%
976,26031,倒数3期两球组合,30,最后1名,7,26032,12 1,否,,0%
977,26031,倒数4期两球组合,30,第1名,3,26032,12 1,否,,0%
978,26031,倒数4期两球组合,30,最后1名,1 10,26032,12 1,是,1,50.0%
979,26031,倒数5期两球组合,30,第1名,11,26032,12 1,否,,0%
980,26031,倒数5期两球组合,30,最后1名,6 9,26032,12 1,否,,0%
981,26031,最新一期两球组合,20,第1名,10,26032,12 1,否,,0%
982,26031,最新一期两球组合,20,最后1名,9,26032,12 1,否,,0%
983,26031,倒数2期两球组合,20,第1名,6,26032,12 1,否,,0%
984,26031,倒数2期两球组合,20,最后1名,7 11,26032,12 1,否,,0%
985,26031,倒数3期两球组合,20,第1名,1,26032,12 1,是,1,100.0%
986,26031,倒数3期两球组合,20,最后1名,7,26032,12 1,否,,0%
987,26031,倒数4期两球组合,20,第1名,3 4,26032,12 1,否,,0%
988,26031,倒数4期两球组合,20,最后1名,7,26032,12 1,否,,0%
989,26031,倒数5期两球组合,20,第1名,11,26032,12 1,否,,0%
990,26031,倒数5期两球组合,20,最后1名,5 6,26032,12 1,否,,0%
991,26031,最新一期两球组合,10,第1名,3,26032,12 1,否,,0%
992,26031,最新一期两球组合,10,最后1名,9,26032,12 1,否,,0%
993,26031,倒数2期两球组合,10,第1名,6,26032,12 1,否,,0%
994,26031,倒数2期两球组合,10,最后1名,8,26032,12 1,否,,0%
995,26031,倒数3期两球组合,10,第1名,1,26032,12 1,是,1,100.0%
996,26031,倒数3期两球组合,10,最后1名,8,26032,12 1,否,,0%
997,26031,倒数4期两球组合,10,第1名,12,26032,12 1,是,12,100.0%
998,26031,倒数4期两球组合,10,最后1名,7,26032,12 1,否,,0%
999,26031,倒数5期两球组合,10,第1名,3,26032,12 1,否,,0%
1000,26031,倒数5期两球组合,10,最后1名,6 10,26032,12 1,否,,0%
1001,26030,最新一期两球组合,50,第1名,5,26031,5 7,是,5,100.0%
1002,26030,最新一期两球组合,50,最后1名,4,26031,5 7,否,,0%
1003,26030,倒数2期两球组合,50,第1名,9,26031,5 7,否,,0%
1004,26030,倒数2期两球组合,50,最后1名,2,26031,5 7,否,,0%
1005,26030,倒数3期两球组合,50,第1名,5,26031,5 7,是,5,100.0%
1006,26030,倒数3期两球组合,50,最后1名,1 8,26031,5 7,否,,0%
1007,26030,倒数4期两球组合,50,第1名,4,26031,5 7,否,,0%
1008,26030,倒数4期两球组合,50,最后1名,9,26031,5 7,否,,0%
1009,26030,倒数5期两球组合,50,第1名,11,26031,5 7,否,,0%
1010,26030,倒数5期两球组合,50,最后1名,9 12,26031,5 7,否,,0%
1011,26030,最新一期两球组合,30,第1名,7,26031,5 7,是,7,100.0%
1012,26030,最新一期两球组合,30,最后1名,8 11,26031,5 7,否,,0%
1013,26030,倒数2期两球组合,30,第1名,10,26031,5 7,否,,0%
1014,26030,倒数2期两球组合,30,最后1名,11,26031,5 7,否,,0%
1015,26030,倒数3期两球组合,30,第1名,7,26031,5 7,是,7,100.0%
1016,26030,倒数3期两球组合,30,最后1名,4 8,26031,5 7,否,,0%
1017,26030,倒数4期两球组合,30,第1名,4,26031,5 7,否,,0%
1018,26030,倒数4期两球组合,30,最后1名,8,26031,5 7,否,,0%
1019,26030,倒数5期两球组合,30,第1名,6,26031,5 7,否,,0%
1020,26030,倒数5期两球组合,30,最后1名,9,26031,5 7,否,,0%
1021,26030,最新一期两球组合,20,第1名,6 9,26031,5 7,否,,0%
1022,26030,最新一期两球组合,20,最后1名,3 8,26031,5 7,否,,0%
1023,26030,倒数2期两球组合,20,第1名,4,26031,5 7,否,,0%
1024,26030,倒数2期两球组合,20,最后1名,11,26031,5 7,否,,0%
1025,26030,倒数3期两球组合,20,第1名,2 5 10,26031,5 7,是,5,33.3%
1026,26030,倒数3期两球组合,20,最后1名,4 6 8,26031,5 7,否,,0%
1027,26030,倒数4期两球组合,20,第1名,1,26031,5 7,否,,0%
1028,26030,倒数4期两球组合,20,最后1名,8 9,26031,5 7,否,,0%
1029,26030,倒数5期两球组合,20,第1名,6,26031,5 7,否,,0%
1030,26030,倒数5期两球组合,20,最后1名,5 7,26031,5 7,是,5 7,100.0%
1031,26030,最新一期两球组合,10,第1名,9,26031,5 7,否,,0%
1032,26030,最新一期两球组合,10,最后1名,8,26031,5 7,否,,0%
1033,26030,倒数2期两球组合,10,第1名,10,26031,5 7,否,,0%
1034,26030,倒数2期两球组合,10,最后1名,7 11,26031,5 7,是,7,50.0%
1035,26030,倒数3期两球组合,10,第1名,6 7 8 9 10,26031,5 7,是,7,20.0%
1036,26030,倒数3期两球组合,10,最后1名,4,26031,5 7,否,,0%
1037,26030,倒数4期两球组合,10,第1名,7,26031,5 7,是,7,100.0%
1038,26030,倒数4期两球组合,10,最后1名,9,26031,5 7,否,,0%
1039,26030,倒数5期两球组合,10,第1名,6,26031,5 7,否,,0%
1040,26030,倒数5期两球组合,10,最后1名,7,26031,5 7,是,7,100.0%
1041,26029,最新一期两球组合,50,第1名,10 11,26030,5 12,否,,0%
1042,26029,最新一期两球组合,50,最后1名,1,26030,5 12,否,,0%
1043,26029,倒数2期两球组合,50,第1名,10,26030,5 12,否,,0%
1044,26029,倒数2期两球组合,50,最后1名,2 3 4 7 11,26030,5 12,否,,0%
1045,26029,倒数3期两球组合,50,第1名,5 12,26030,5 12,是,5 12,100.0%
1046,26029,倒数3期两球组合,50,最后1名,6,26030,5 12,否,,0%
1047,26029,倒数4期两球组合,50,第1名,1,26030,5 12,否,,0%
1048,26029,倒数4期两球组合,50,最后1名,8,26030,5 12,否,,0%
1049,26029,倒数5期两球组合,50,第1名,8,26030,5 12,否,,0%
1050,26029,倒数5期两球组合,50,最后1名,5,26030,5 12,是,5,100.0%
1051,26029,最新一期两球组合,30,第1名,5,26030,5 12,是,5,100.0%
1052,26029,最新一期两球组合,30,最后1名,10,26030,5 12,否,,0%
1053,26029,倒数2期两球组合,30,第1名,8,26030,5 12,否,,0%
1054,26029,倒数2期两球组合,30,最后1名,4,26030,5 12,否,,0%
1055,26029,倒数3期两球组合,30,第1名,12,26030,5 12,是,12,100.0%
1056,26029,倒数3期两球组合,30,最后1名,3 6 10,26030,5 12,否,,0%
1057,26029,倒数4期两球组合,30,第1名,1,26030,5 12,否,,0%
1058,26029,倒数4期两球组合,30,最后1名,5,26030,5 12,是,5,100.0%
1059,26029,倒数5期两球组合,30,第1名,2,26030,5 12,否,,0%
1060,26029,倒数5期两球组合,30,最后1名,1 3,26030,5 12,否,,0%
1061,26029,最新一期两球组合,20,第1名,6,26030,5 12,否,,0%
1062,26029,最新一期两球组合,20,最后1名,9,26030,5 12,否,,0%
1063,26029,倒数2期两球组合,20,第1名,6,26030,5 12,否,,0%
1064,26029,倒数2期两球组合,20,最后1名,4,26030,5 12,否,,0%
1065,26029,倒数3期两球组合,20,第1名,7,26030,5 12,否,,0%
1066,26029,倒数3期两球组合,20,最后1名,9,26030,5 12,否,,0%
1067,26029,倒数4期两球组合,20,第1名,1,26030,5 12,否,,0%
1068,26029,倒数4期两球组合,20,最后1名,2 8,26030,5 12,否,,0%
1069,26029,倒数5期两球组合,20,第1名,3,26030,5 12,否,,0%
1070,26029,倒数5期两球组合,20,最后1名,9,26030,5 12,否,,0%
1071,26029,最新一期两球组合,10,第1名,4 6,26030,5 12,否,,0%
1072,26029,最新一期两球组合,10,最后1名,9,26030,5 12,否,,0%
1073,26029,倒数2期两球组合,10,第1名,8,26030,5 12,否,,0%
1074,26029,倒数2期两球组合,10,最后1名,4 9 10,26030,5 12,否,,0%
1075,26029,倒数3期两球组合,10,第1名,12,26030,5 12,是,12,100.0%
1076,26029,倒数3期两球组合,10,最后1名,3,26030,5 12,否,,0%
1077,26029,倒数4期两球组合,10,第1名,1,26030,5 12,否,,0%
1078,26029,倒数4期两球组合,10,最后1名,5 6 12,26030,5 12,是,5 12,66.7%
1079,26029,倒数5期两球组合,10,第1名,5,26030,5 12,是,5,100.0%
1080,26029,倒数5期两球组合,10,最后1名,9,26030,5 12,否,,0%
1081,26028,最新一期两球组合,50,第1名,6,26029,5 7,否,,0%
1082,26028,最新一期两球组合,50,最后1名,4,26029,5 7,否,,0%
1083,26028,倒数2期两球组合,50,第1名,2,26029,5 7,否,,0%
1084,26028,倒数2期两球组合,50,最后1名,3 5,26029,5 7,是,5,50.0%
1085,26028,倒数3期两球组合,50,第1名,3,26029,5 7,否,,0%
1086,26028,倒数3期两球组合,50,最后1名,2 10,26029,5 7,否,,0%
1087,26028,倒数4期两球组合,50,第1名,6,26029,5 7,否,,0%
1088,26028,倒数4期两球组合,50,最后1名,5,26029,5 7,是,5,100.0%
1089,26028,倒数5期两球组合,50,第1名,9,26029,5 7,否,,0%
1090,26028,倒数5期两球组合,50,最后1名,7,26029,5 7,是,7,100.0%
1091,26028,最新一期两球组合,30,第1名,5,26029,5 7,是,5,100.0%
1092,26028,最新一期两球组合,30,最后1名,10,26029,5 7,否,,0%
1093,26028,倒数2期两球组合,30,第1名,5,26029,5 7,是,5,100.0%
1094,26028,倒数2期两球组合,30,最后1名,6,26029,5 7,否,,0%
1095,26028,倒数3期两球组合,30,第1名,10,26029,5 7,否,,0%
1096,26028,倒数3期两球组合,30,最后1名,7 8 11,26029,5 7,是,7,33.3%
1097,26028,倒数4期两球组合,30,第1名,6,26029,5 7,否,,0%
1098,26028,倒数4期两球组合,30,最后1名,1 5,26029,5 7,是,5,50.0%
1099,26028,倒数5期两球组合,30,第1名,9,26029,5 7,否,,0%
1100,26028,倒数5期两球组合,30,最后1名,7,26029,5 7,是,7,100.0%
1101,26028,最新一期两球组合,20,第1名,11,26029,5 7,否,,0%
1102,26028,最新一期两球组合,20,最后1名,6 9,26029,5 7,否,,0%
1103,26028,倒数2期两球组合,20,第1名,2,26029,5 7,否,,0%
1104,26028,倒数2期两球组合,20,最后1名,6 12,26029,5 7,否,,0%
1105,26028,倒数3期两球组合,20,第1名,3,26029,5 7,否,,0%
1106,26028,倒数3期两球组合,20,最后1名,2 5 8 11,26029,5 7,是,5,25.0%
1107,26028,倒数4期两球组合,20,第1名,3 7,26029,5 7,是,7,50.0%
1108,26028,倒数4期两球组合,20,最后1名,5 12,26029,5 7,是,5,50.0%
1109,26028,倒数5期两球组合,20,第1名,9,26029,5 7,否,,0%
1110,26028,倒数5期两球组合,20,最后1名,10,26029,5 7,否,,0%
1111,26028,最新一期两球组合,10,第1名,2,26029,5 7,否,,0%
1112,26028,最新一期两球组合,10,最后1名,1 4 9,26029,5 7,否,,0%
1113,26028,倒数2期两球组合,10,第1名,2,26029,5 7,否,,0%
1114,26028,倒数2期两球组合,10,最后1名,1 3 6 12,26029,5 7,否,,0%
1115,26028,倒数3期两球组合,10,第1名,1,26029,5 7,否,,0%
1116,26028,倒数3期两球组合,10,最后1名,10 12,26029,5 7,否,,0%
1117,26028,倒数4期两球组合,10,第1名,6 7,26029,5 7,是,7,50.0%
1118,26028,倒数4期两球组合,10,最后1名,4 5,26029,5 7,是,5,50.0%
1119,26028,倒数5期两球组合,10,第1名,6,26029,5 7,否,,0%
1120,26028,倒数5期两球组合,10,最后1名,4,26029,5 7,否,,0%
1121,26027,最新一期两球组合,50,第1名,9,26028,10 1,否,,0%
1122,26027,最新一期两球组合,50,最后1名,8,26028,10 1,否,,0%
1123,26027,倒数2期两球组合,50,第1名,11,26028,10 1,否,,0%
1124,26027,倒数2期两球组合,50,最后1名,3,26028,10 1,否,,0%
1125,26027,倒数3期两球组合,50,第1名,1,26028,10 1,是,1,100.0%
1126,26027,倒数3期两球组合,50,最后1名,4 9,26028,10 1,否,,0%
1127,26027,倒数4期两球组合,50,第1名,11,26028,10 1,否,,0%
1128,26027,倒数4期两球组合,50,最后1名,9,26028,10 1,否,,0%
1129,26027,倒数5期两球组合,50,第1名,11,26028,10 1,否,,0%
1130,26027,倒数5期两球组合,50,最后1名,9 10 12,26028,10 1,是,10,33.3%
1131,26027,最新一期两球组合,30,第1名,3,26028,10 1,否,,0%
1132,26027,最新一期两球组合,30,最后1名,8 10 12,26028,10 1,是,10,33.3%
1133,26027,倒数2期两球组合,30,第1名,12,26028,10 1,否,,0%
1134,26027,倒数2期两球组合,30,最后1名,2,26028,10 1,否,,0%
1135,26027,倒数3期两球组合,30,第1名,3,26028,10 1,否,,0%
1136,26027,倒数3期两球组合,30,最后1名,4,26028,10 1,否,,0%
1137,26027,倒数4期两球组合,30,第1名,8,26028,10 1,否,,0%
1138,26027,倒数4期两球组合,30,最后1名,5 9,26028,10 1,否,,0%
1139,26027,倒数5期两球组合,30,第1名,6,26028,10 1,否,,0%
1140,26027,倒数5期两球组合,30,最后1名,10,26028,10 1,是,10,100.0%
1141,26027,最新一期两球组合,20,第1名,7,26028,10 1,否,,0%
1142,26027,最新一期两球组合,20,最后1名,1,26028,10 1,是,1,100.0%
1143,26027,倒数2期两球组合,20,第1名,12,26028,10 1,否,,0%
1144,26027,倒数2期两球组合,20,最后1名,2,26028,10 1,否,,0%
1145,26027,倒数3期两球组合,20,第1名,5,26028,10 1,否,,0%
1146,26027,倒数3期两球组合,20,最后1名,9 10,26028,10 1,是,10,50.0%
1147,26027,倒数4期两球组合,20,第1名,1 8,26028,10 1,是,1,50.0%
1148,26027,倒数4期两球组合,20,最后1名,4 5 7 9,26028,10 1,否,,0%
1149,26027,倒数5期两球组合,20,第1名,11,26028,10 1,否,,0%
1150,26027,倒数5期两球组合,20,最后1名,7 12,26028,10 1,否,,0%
1151,26027,最新一期两球组合,10,第1名,2 7,26028,10 1,否,,0%
1152,26027,最新一期两球组合,10,最后1名,1,26028,10 1,是,1,100.0%
1153,26027,倒数2期两球组合,10,第1名,5,26028,10 1,否,,0%
1154,26027,倒数2期两球组合,10,最后1名,2 3 9,26028,10 1,否,,0%
1155,26027,倒数3期两球组合,10,第1名,5,26028,10 1,否,,0%
1156,26027,倒数3期两球组合,10,最后1名,7,26028,10 1,否,,0%
1157,26027,倒数4期两球组合,10,第1名,12,26028,10 1,否,,0%
1158,26027,倒数4期两球组合,10,最后1名,6 9,26028,10 1,否,,0%
1159,26027,倒数5期两球组合,10,第1名,6,26028,10 1,否,,0%
1160,26027,倒数5期两球组合,10,最后1名,7 8,26028,10 1,否,,0%
1161,26026,最新一期两球组合,50,第1名,12,26027,1 11,否,,0%
1162,26026,最新一期两球组合,50,最后1名,3,26027,1 11,否,,0%
1163,26026,倒数2期两球组合,50,第1名,4,26027,1 11,否,,0%
1164,26026,倒数2期两球组合,50,最后1名,2,26027,1 11,否,,0%
1165,26026,倒数3期两球组合,50,第1名,7,26027,1 11,否,,0%
1166,26026,倒数3期两球组合,50,最后1名,8,26027,1 11,否,,0%
1167,26026,倒数4期两球组合,50,第1名,7,26027,1 11,否,,0%
1168,26026,倒数4期两球组合,50,最后1名,4,26027,1 11,否,,0%
1169,26026,倒数5期两球组合,50,第1名,3,26027,1 11,否,,0%
1170,26026,倒数5期两球组合,50,最后1名,10,26027,1 11,否,,0%
1171,26026,最新一期两球组合,30,第1名,10,26027,1 11,否,,0%
1172,26026,最新一期两球组合,30,最后1名,2,26027,1 11,否,,0%
1173,26026,倒数2期两球组合,30,第1名,8,26027,1 11,否,,0%
1174,26026,倒数2期两球组合,30,最后1名,11,26027,1 11,是,11,100.0%
1175,26026,倒数3期两球组合,30,第1名,6,26027,1 11,否,,0%
1176,26026,倒数3期两球组合,30,最后1名,10,26027,1 11,否,,0%
1177,26026,倒数4期两球组合,30,第1名,7,26027,1 11,否,,0%
1178,26026,倒数4期两球组合,30,最后1名,1,26027,1 11,是,1,100.0%
1179,26026,倒数5期两球组合,30,第1名,8,26027,1 11,否,,0%
1180,26026,倒数5期两球组合,30,最后1名,9,26027,1 11,否,,0%
1181,26026,最新一期两球组合,20,第1名,8,26027,1 11,否,,0%
1182,26026,最新一期两球组合,20,最后1名,6 7,26027,1 11,否,,0%
1183,26026,倒数2期两球组合,20,第1名,7,26027,1 11,否,,0%
1184,26026,倒数2期两球组合,20,最后1名,9 11,26027,1 11,是,11,50.0%
1185,26026,倒数3期两球组合,20,第1名,6,26027,1 11,否,,0%
1186,26026,倒数3期两球组合,20,最后1名,9,26027,1 11,否,,0%
1187,26026,倒数4期两球组合,20,第1名,6,26027,1 11,否,,0%
1188,26026,倒数4期两球组合,20,最后1名,11 12,26027,1 11,是,11,50.0%
1189,26026,倒数5期两球组合,20,第1名,3,26027,1 11,否,,0%
1190,26026,倒数5期两球组合,20,最后1名,5,26027,1 11,否,,0%
1191,26026,最新一期两球组合,10,第1名,12,26027,1 11,否,,0%
1192,26026,最新一期两球组合,10,最后1名,3 4,26027,1 11,否,,0%
1193,26026,倒数2期两球组合,10,第1名,8,26027,1 11,否,,0%
1194,26026,倒数2期两球组合,10,最后1名,5 6 9 11 12,26027,1 11,是,11,20.0%
1195,26026,倒数3期两球组合,10,第1名,2,26027,1 11,否,,0%
1196,26026,倒数3期两球组合,10,最后1名,8,26027,1 11,否,,0%
1197,26026,倒数4期两球组合,10,第1名,6,26027,1 11,否,,0%
1198,26026,倒数4期两球组合,10,最后1名,5 11,26027,1 11,是,11,50.0%
1199,26026,倒数5期两球组合,10,第1名,3,26027,1 11,否,,0%
1200,26026,倒数5期两球组合,10,最后1名,5,26027,1 11,否,,0%
1201,26025,最新一期两球组合,50,第1名,2 7,26026,1 8,否,,0%
1202,26025,最新一期两球组合,50,最后1名,5 11,26026,1 8,否,,0%
1203,26025,倒数2期两球组合,50,第1名,11,26026,1 8,否,,0%
1204,26025,倒数2期两球组合,50,最后1名,4 6,26026,1 8,否,,0%
1205,26025,倒数3期两球组合,50,第1名,3,26026,1 8,否,,0%
1206,26025,倒数3期两球组合,50,最后1名,1 2 10,26026,1 8,是,1,33.3%
1207,26025,倒数4期两球组合,50,第1名,8,26026,1 8,是,8,100.0%
1208,26025,倒数4期两球组合,50,最后1名,12,26026,1 8,否,,0%
1209,26025,倒数5期两球组合,50,第1名,11,26026,1 8,否,,0%
1210,26025,倒数5期两球组合,50,最后1名,10,26026,1 8,否,,0%
1211,26025,最新一期两球组合,30,第1名,2 12,26026,1 8,否,,0%
1212,26025,最新一期两球组合,30,最后1名,3 4,26026,1 8,否,,0%
1213,26025,倒数2期两球组合,30,第1名,10,26026,1 8,否,,0%
1214,26025,倒数2期两球组合,30,最后1名,4,26026,1 8,否,,0%
1215,26025,倒数3期两球组合,30,第1名,3,26026,1 8,否,,0%
1216,26025,倒数3期两球组合,30,最后1名,6,26026,1 8,否,,0%
1217,26025,倒数4期两球组合,30,第1名,3,26026,1 8,否,,0%
1218,26025,倒数4期两球组合,30,最后1名,5,26026,1 8,否,,0%
1219,26025,倒数5期两球组合,30,第1名,11,26026,1 8,否,,0%
1220,26025,倒数5期两球组合,30,最后1名,3,26026,1 8,否,,0%
1221,26025,最新一期两球组合,20,第1名,7,26026,1 8,否,,0%
1222,26025,最新一期两球组合,20,最后1名,4 10 11,26026,1 8,否,,0%
1223,26025,倒数2期两球组合,20,第1名,10,26026,1 8,否,,0%
1224,26025,倒数2期两球组合,20,最后1名,2 4,26026,1 8,否,,0%
1225,26025,倒数3期两球组合,20,第1名,3,26026,1 8,否,,0%
1226,26025,倒数3期两球组合,20,最后1名,6,26026,1 8,否,,0%
1227,26025,倒数4期两球组合,20,第1名,8,26026,1 8,是,8,100.0%
1228,26025,倒数4期两球组合,20,最后1名,2,26026,1 8,否,,0%
1229,26025,倒数5期两球组合,20,第1名,11,26026,1 8,否,,0%
1230,26025,倒数5期两球组合,20,最后1名,5 7 10,26026,1 8,否,,0%
1231,26025,最新一期两球组合,10,第1名,7,26026,1 8,否,,0%
1232,26025,最新一期两球组合,10,最后1名,4,26026,1 8,否,,0%
1233,26025,倒数2期两球组合,10,第1名,10,26026,1 8,否,,0%
1234,26025,倒数2期两球组合,10,最后1名,6,26026,1 8,否,,0%
1235,26025,倒数3期两球组合,10,第1名,10,26026,1 8,否,,0%
1236,26025,倒数3期两球组合,10,最后1名,8,26026,1 8,是,8,100.0%
1237,26025,倒数4期两球组合,10,第1名,1 5,26026,1 8,是,1,50.0%
1238,26025,倒数4期两球组合,10,最后1名,9 10 11,26026,1 8,否,,0%
1239,26025,倒数5期两球组合,10,第1名,11,26026,1 8,否,,0%
1240,26025,倒数5期两球组合,10,最后1名,4 5,26026,1 8,否,,0%
1241,26024,最新一期两球组合,50,第1名,8,26025,3 7,否,,0%
1242,26024,最新一期两球组合,50,最后1名,3 4 12,26025,3 7,是,3,33.3%
1243,26024,倒数2期两球组合,50,第1名,12,26025,3 7,否,,0%
1244,26024,倒数2期两球组合,50,最后1名,2 3 7,26025,3 7,是,3 7,66.7%
1245,26024,倒数3期两球组合,50,第1名,7,26025,3 7,是,7,100.0%
1246,26024,倒数3期两球组合,50,最后1名,12,26025,3 7,否,,0%
1247,26024,倒数4期两球组合,50,第1名,1,26025,3 7,否,,0%
1248,26024,倒数4期两球组合,50,最后1名,12,26025,3 7,否,,0%
1249,26024,倒数5期两球组合,50,第1名,4,26025,3 7,否,,0%
1250,26024,倒数5期两球组合,50,最后1名,3,26025,3 7,是,3,100.0%
1251,26024,最新一期两球组合,30,第1名,8,26025,3 7,否,,0%
1252,26024,最新一期两球组合,30,最后1名,3 11,26025,3 7,是,3,50.0%
1253,26024,倒数2期两球组合,30,第1名,6,26025,3 7,否,,0%
1254,26024,倒数2期两球组合,30,最后1名,2,26025,3 7,否,,0%
1255,26024,倒数3期两球组合,30,第1名,7,26025,3 7,是,7,100.0%
1256,26024,倒数3期两球组合,30,最后1名,1 8,26025,3 7,否,,0%
1257,26024,倒数4期两球组合,30,第1名,2,26025,3 7,否,,0%
1258,26024,倒数4期两球组合,30,最后1名,12,26025,3 7,否,,0%
1259,26024,倒数5期两球组合,30,第1名,9,26025,3 7,否,,0%
1260,26024,倒数5期两球组合,30,最后1名,3,26025,3 7,是,3,100.0%
1261,26024,最新一期两球组合,20,第1名,6,26025,3 7,否,,0%
