序号,回测期号,回测方法,回测期数,回测结果排名,回测结果值,下期期号,下期前区开奖号,是否正确,正确的球,正确率
1091,26028,最新一期两球组合,30,第1名,5,26029,35 33 3 17 5,是,5,100.0%
1092,26028,最新一期两球组合,30,最后1名,4 16,26029,35 33 3 17 5,否,,0%
1093,26028,倒数2期两球组合,30,第1名,29,26029,35 33 3 17 5,否,,0%
1094,26028,倒数2期两球组合,30,最后1名,25 35 13 23,26029,35 33 3 17 5,是,35,25.0%
1095,26028,倒数3期两球组合,30,第1名,1,26029,35 33 3 17 5,否,,0%
1096,26028,倒数3期两球组合,30,最后1名,2 7,26029,35 33 3 17 5,否,,0%
1097,26028,倒数4期两球组合,30,第1名,34,26029,35 33 3 17 5,否,,0%
1098,26028,倒数4期两球组合,30,最后1名,22,26029,35 33 3 17 5,否,,0%
1099,26028,倒数5期两球组合,30,第1名,18,26029,35 33 3 17 5,否,,0%
1100,26028,倒数5期两球组合,30,最后1名,33,26029,35 33 3 17 5,是,33,100.0%
1101,26028,最新一期两球组合,20,第1名,26,26029,35 33 3 17 5,否,,0%
1102,26028,最新一期两球组合,20,最后1名,7 16,26029,35 33 3 17 5,否,,0%
1103,26028,倒数2期两球组合,20,第1名,34,26029,35 33 3 17 5,否,,0%
1104,26028,倒数2期两球组合,20,最后1名,16 8,26029,35 33 3 17 5,否,,0%
1105,26028,倒数3期两球组合,20,第1名,1,26029,35 33 3 17 5,否,,0%
1106,26028,倒数3期两球组合,20,最后1名,2 9 35,26029,35 33 3 17 5,是,35,33.3%
1107,26028,倒数4期两球组合,20,第1名,34,26029,35 33 3 17 5,否,,0%
1108,26028,倒数4期两球组合,20,最后1名,22 23 15 3,26029,35 33 3 17 5,是,3,25.0%
1109,26028,倒数5期两球组合,20,第1名,2,26029,35 33 3 17 5,否,,0%
1110,26028,倒数5期两球组合,20,最后1名,23,26029,35 33 3 17 5,否,,0%
1111,26028,最新一期两球组合,10,第1名,34,26029,35 33 3 17 5,否,,0%
1112,26028,最新一期两球组合,10,最后1名,15,26029,35 33 3 17 5,否,,0%
1113,26028,倒数2期两球组合,10,第1名,34,26029,35 33 3 17 5,否,,0%
1114,26028,倒数2期两球组合,10,最后1名,2 10 32 21 8,26029,35 33 3 17 5,否,,0%
1115,26028,倒数3期两球组合,10,第1名,1,26029,35 33 3 17 5,否,,0%
1116,26028,倒数3期两球组合,10,最后1名,2,26029,35 33 3 17 5,否,,0%
1117,26028,倒数4期两球组合,10,第1名,34,26029,35 33 3 17 5,否,,0%
1118,26028,倒数4期两球组合,10,最后1名,22 5 19 6 16 35,26029,35 33 3 17 5,是,5 35,33.3%
1119,26028,倒数5期两球组合,10,第1名,10,26029,35 33 3 17 5,否,,0%
1120,26028,倒数5期两球组合,10,最后1名,23,26029,35 33 3 17 5,否,,0%
1121,26027,最新一期两球组合,50,第1名,10,26028,29 30 34 27 15,否,,0%
1122,26027,最新一期两球组合,50,最后1名,13,26028,29 30 34 27 15,否,,0%
1123,26027,倒数2期两球组合,50,第1名,6,26028,29 30 34 27 15,否,,0%
1124,26027,倒数2期两球组合,50,最后1名,18 13,26028,29 30 34 27 15,否,,0%
1125,26027,倒数3期两球组合,50,第1名,10,26028,29 30 34 27 15,否,,0%
1126,26027,倒数3期两球组合,50,最后1名,12,26028,29 30 34 27 15,否,,0%
1127,26027,倒数4期两球组合,50,第1名,35,26028,29 30 34 27 15,否,,0%
1128,26027,倒数4期两球组合,50,最后1名,11,26028,29 30 34 27 15,否,,0%
1129,26027,倒数5期两球组合,50,第1名,20,26028,29 30 34 27 15,否,,0%
1130,26027,倒数5期两球组合,50,最后1名,23,26028,29 30 34 27 15,否,,0%
1131,26027,最新一期两球组合,30,第1名,34,26028,29 30 34 27 15,是,34,100.0%
1132,26027,最新一期两球组合,30,最后1名,29 13,26028,29 30 34 27 15,是,29,50.0%
1133,26027,倒数2期两球组合,30,第1名,7,26028,29 30 34 27 15,否,,0%
1134,26027,倒数2期两球组合,30,最后1名,31,26028,29 30 34 27 15,否,,0%
1135,26027,倒数3期两球组合,30,第1名,30,26028,29 30 34 27 15,是,30,100.0%
1136,26027,倒数3期两球组合,30,最后1名,3 5,26028,29 30 34 27 15,否,,0%
1137,26027,倒数4期两球组合,30,第1名,12,26028,29 30 34 27 15,否,,0%
1138,26027,倒数4期两球组合,30,最后1名,11,26028,29 30 34 27 15,否,,0%
1139,26027,倒数5期两球组合,30,第1名,16,26028,29 30 34 27 15,否,,0%
1140,26027,倒数5期两球组合,30,最后1名,23,26028,29 30 34 27 15,否,,0%
1141,26027,最新一期两球组合,20,第1名,34,26028,29 30 34 27 15,是,34,100.0%
1142,26027,最新一期两球组合,20,最后1名,11 13,26028,29 30 34 27 15,否,,0%
1143,26027,倒数2期两球组合,20,第1名,7,26028,29 30 34 27 15,否,,0%
1144,26027,倒数2期两球组合,20,最后1名,23,26028,29 30 34 27 15,否,,0%
1145,26027,倒数3期两球组合,20,第1名,30,26028,29 30 34 27 15,是,30,100.0%
1146,26027,倒数3期两球组合,20,最后1名,14,26028,29 30 34 27 15,否,,0%
1147,26027,倒数4期两球组合,20,第1名,12,26028,29 30 34 27 15,否,,0%
1148,26027,倒数4期两球组合,20,最后1名,25 8,26028,29 30 34 27 15,否,,0%
1149,26027,倒数5期两球组合,20,第1名,20,26028,29 30 34 27 15,否,,0%
1150,26027,倒数5期两球组合,20,最后1名,28 23,26028,29 30 34 27 15,否,,0%
1151,26027,最新一期两球组合,10,第1名,23,26028,29 30 34 27 15,否,,0%
1152,26027,最新一期两球组合,10,最后1名,29 11 9,26028,29 30 34 27 15,是,29,33.3%
1153,26027,倒数2期两球组合,10,第1名,9,26028,29 30 34 27 15,否,,0%
1154,26027,倒数2期两球组合,10,最后1名,19 2 8 17 23 25 10,26028,29 30 34 27 15,否,,0%
1155,26027,倒数3期两球组合,10,第1名,11,26028,29 30 34 27 15,否,,0%
1156,26027,倒数3期两球组合,10,最后1名,3 29,26028,29 30 34 27 15,是,29,50.0%
1157,26027,倒数4期两球组合,10,第1名,12,26028,29 30 34 27 15,否,,0%
1158,26027,倒数4期两球组合,10,最后1名,31 19 8,26028,29 30 34 27 15,否,,0%
1159,26027,倒数5期两球组合,10,第1名,16,26028,29 30 34 27 15,否,,0%
1160,26027,倒数5期两球组合,10,最后1名,23,26028,29 30 34 27 15,否,,0%
1161,26026,最新一期两球组合,50,第1名,11,26027,16 12 9 11 10,是,11,100.0%
1162,26026,最新一期两球组合,50,最后1名,24,26027,16 12 9 11 10,否,,0%
1163,26026,倒数2期两球组合,50,第1名,21,26027,16 12 9 11 10,否,,0%
1164,26026,倒数2期两球组合,50,最后1名,4,26027,16 12 9 11 10,否,,0%
1165,26026,倒数3期两球组合,50,第1名,10,26027,16 12 9 11 10,是,10,100.0%
1166,26026,倒数3期两球组合,50,最后1名,26,26027,16 12 9 11 10,否,,0%
1167,26026,倒数4期两球组合,50,第1名,22,26027,16 12 9 11 10,否,,0%
1168,26026,倒数4期两球组合,50,最后1名,3 13,26027,16 12 9 11 10,否,,0%
1169,26026,倒数5期两球组合,50,第1名,24,26027,16 12 9 11 10,否,,0%
1170,26026,倒数5期两球组合,50,最后1名,25,26027,16 12 9 11 10,否,,0%
1171,26026,最新一期两球组合,30,第1名,24,26027,16 12 9 11 10,否,,0%
1172,26026,最新一期两球组合,30,最后1名,32,26027,16 12 9 11 10,否,,0%
1173,26026,倒数2期两球组合,30,第1名,10,26027,16 12 9 11 10,是,10,100.0%
1174,26026,倒数2期两球组合,30,最后1名,25,26027,16 12 9 11 10,否,,0%
1175,26026,倒数3期两球组合,30,第1名,22,26027,16 12 9 11 10,否,,0%
1176,26026,倒数3期两球组合,30,最后1名,29 12,26027,16 12 9 11 10,是,12,50.0%
1177,26026,倒数4期两球组合,30,第1名,26,26027,16 12 9 11 10,否,,0%
1178,26026,倒数4期两球组合,30,最后1名,29 6 33 35,26027,16 12 9 11 10,否,,0%
1179,26026,倒数5期两球组合,30,第1名,10,26027,16 12 9 11 10,是,10,100.0%
1180,26026,倒数5期两球组合,30,最后1名,25,26027,16 12 9 11 10,否,,0%
1181,26026,最新一期两球组合,20,第1名,8,26027,16 12 9 11 10,否,,0%
1182,26026,最新一期两球组合,20,最后1名,33 32 1 17 13,26027,16 12 9 11 10,否,,0%
1183,26026,倒数2期两球组合,20,第1名,3,26027,16 12 9 11 10,否,,0%
1184,26026,倒数2期两球组合,20,最后1名,30 8,26027,16 12 9 11 10,否,,0%
1185,26026,倒数3期两球组合,20,第1名,22,26027,16 12 9 11 10,否,,0%
1186,26026,倒数3期两球组合,20,最后1名,34,26027,16 12 9 11 10,否,,0%
1187,26026,倒数4期两球组合,20,第1名,22,26027,16 12 9 11 10,否,,0%
1188,26026,倒数4期两球组合,20,最后1名,3,26027,16 12 9 11 10,否,,0%
1189,26026,倒数5期两球组合,20,第1名,10,26027,16 12 9 11 10,是,10,100.0%
1190,26026,倒数5期两球组合,20,最后1名,25,26027,16 12 9 11 10,否,,0%
1191,26026,最新一期两球组合,10,第1名,11,26027,16 12 9 11 10,是,11,100.0%
1192,26026,最新一期两球组合,10,最后1名,33 17,26027,16 12 9 11 10,否,,0%
1193,26026,倒数2期两球组合,10,第1名,10,26027,16 12 9 11 10,是,10,100.0%
1194,26026,倒数2期两球组合,10,最后1名,31 21 15,26027,16 12 9 11 10,否,,0%
1195,26026,倒数3期两球组合,10,第1名,22,26027,16 12 9 11 10,否,,0%
1196,26026,倒数3期两球组合,10,最后1名,30,26027,16 12 9 11 10,否,,0%
1197,26026,倒数4期两球组合,10,第1名,10,26027,16 12 9 11 10,是,10,100.0%
1198,26026,倒数4期两球组合,10,最后1名,1,26027,16 12 9 11 10,否,,0%
1199,26026,倒数5期两球组合,10,第1名,11,26027,16 12 9 11 10,是,11,100.0%
1200,26026,倒数5期两球组合,10,最后1名,31 25,26027,16 12 9 11 10,否,,0%
1201,26025,最新一期两球组合,50,第1名,31,26026,32 22 10 26 11,否,,0%
1202,26025,最新一期两球组合,50,最后1名,21,26026,32 22 10 26 11,否,,0%
1203,26025,倒数2期两球组合,50,第1名,20,26026,32 22 10 26 11,否,,0%
1204,26025,倒数2期两球组合,50,最后1名,26,26026,32 22 10 26 11,是,26,100.0%
1205,26025,倒数3期两球组合,50,第1名,3,26026,32 22 10 26 11,否,,0%
1206,26025,倒数3期两球组合,50,最后1名,14,26026,32 22 10 26 11,否,,0%
1207,26025,倒数4期两球组合,50,第1名,27,26026,32 22 10 26 11,否,,0%
1208,26025,倒数4期两球组合,50,最后1名,14,26026,32 22 10 26 11,否,,0%
1209,26025,倒数5期两球组合,50,第1名,12,26026,32 22 10 26 11,否,,0%
1210,26025,倒数5期两球组合,50,最后1名,16,26026,32 22 10 26 11,否,,0%
1211,26025,最新一期两球组合,30,第1名,5,26026,32 22 10 26 11,否,,0%
1212,26025,最新一期两球组合,30,最后1名,22 1 16 32 21,26026,32 22 10 26 11,是,22 32,40.0%
1213,26025,倒数2期两球组合,30,第1名,22,26026,32 22 10 26 11,是,22,100.0%
1214,26025,倒数2期两球组合,30,最后1名,34 26,26026,32 22 10 26 11,是,26,50.0%
1215,26025,倒数3期两球组合,30,第1名,3,26026,32 22 10 26 11,否,,0%
1216,26025,倒数3期两球组合,30,最后1名,14,26026,32 22 10 26 11,否,,0%
1217,26025,倒数4期两球组合,30,第1名,28,26026,32 22 10 26 11,否,,0%
1218,26025,倒数4期两球组合,30,最后1名,5,26026,32 22 10 26 11,否,,0%
1219,26025,倒数5期两球组合,30,第1名,9,26026,32 22 10 26 11,否,,0%
1220,26025,倒数5期两球组合,30,最后1名,16,26026,32 22 10 26 11,否,,0%
1221,26025,最新一期两球组合,20,第1名,3,26026,32 22 10 26 11,否,,0%
1222,26025,最新一期两球组合,20,最后1名,35 21,26026,32 22 10 26 11,否,,0%
1223,26025,倒数2期两球组合,20,第1名,10,26026,32 22 10 26 11,是,10,100.0%
1224,26025,倒数2期两球组合,20,最后1名,33 26 6,26026,32 22 10 26 11,是,26,33.3%
1225,26025,倒数3期两球组合,20,第1名,3,26026,32 22 10 26 11,否,,0%
1226,26025,倒数3期两球组合,20,最后1名,14,26026,32 22 10 26 11,否,,0%
1227,26025,倒数4期两球组合,20,第1名,28,26026,32 22 10 26 11,否,,0%
1228,26025,倒数4期两球组合,20,最后1名,7,26026,32 22 10 26 11,否,,0%
1229,26025,倒数5期两球组合,20,第1名,27,26026,32 22 10 26 11,否,,0%
1230,26025,倒数5期两球组合,20,最后1名,16,26026,32 22 10 26 11,否,,0%
1231,26025,最新一期两球组合,10,第1名,28,26026,32 22 10 26 11,否,,0%
1232,26025,最新一期两球组合,10,最后1名,16,26026,32 22 10 26 11,否,,0%
1233,26025,倒数2期两球组合,10,第1名,15,26026,32 22 10 26 11,否,,0%
1234,26025,倒数2期两球组合,10,最后1名,30,26026,32 22 10 26 11,否,,0%
1235,26025,倒数3期两球组合,10,第1名,3,26026,32 22 10 26 11,否,,0%
1236,26025,倒数3期两球组合,10,最后1名,20 30 34 27 14,26026,32 22 10 26 11,否,,0%
1237,26025,倒数4期两球组合,10,第1名,24,26026,32 22 10 26 11,否,,0%
1238,26025,倒数4期两球组合,10,最后1名,32 22,26026,32 22 10 26 11,是,32 22,100.0%
1239,26025,倒数5期两球组合,10,第1名,3,26026,32 22 10 26 11,否,,0%
1240,26025,倒数5期两球组合,10,最后1名,2 20 30 9,26026,32 22 10 26 11,否,,0%
1241,26024,最新一期两球组合,50,第1名,10,26025,24 29 28 15 3,否,,0%
1242,26024,最新一期两球组合,50,最后1名,25,26025,24 29 28 15 3,否,,0%
1243,26024,倒数2期两球组合,50,第1名,6,26025,24 29 28 15 3,否,,0%
1244,26024,倒数2期两球组合,50,最后1名,11,26025,24 29 28 15 3,否,,0%
1245,26024,倒数3期两球组合,50,第1名,2,26025,24 29 28 15 3,否,,0%
1246,26024,倒数3期两球组合,50,最后1名,7 22,26025,24 29 28 15 3,否,,0%
1247,26024,倒数4期两球组合,50,第1名,2,26025,24 29 28 15 3,否,,0%
1248,26024,倒数4期两球组合,50,最后1名,30,26025,24 29 28 15 3,否,,0%
1249,26024,倒数5期两球组合,50,第1名,4,26025,24 29 28 15 3,否,,0%
1250,26024,倒数5期两球组合,50,最后1名,12,26025,24 29 28 15 3,否,,0%
1251,26024,最新一期两球组合,30,第1名,31,26025,24 29 28 15 3,否,,0%
1252,26024,最新一期两球组合,30,最后1名,30 1 34 15 6 13 25,26025,24 29 28 15 3,是,15,14.3%
1253,26024,倒数2期两球组合,30,第1名,2,26025,24 29 28 15 3,否,,0%
1254,26024,倒数2期两球组合,30,最后1名,27 28 12 16,26025,24 29 28 15 3,是,28,25.0%
1255,26024,倒数3期两球组合,30,第1名,2,26025,24 29 28 15 3,否,,0%
1256,26024,倒数3期两球组合,30,最后1名,22,26025,24 29 28 15 3,否,,0%
1257,26024,倒数4期两球组合,30,第1名,10,26025,24 29 28 15 3,否,,0%
1258,26024,倒数4期两球组合,30,最后1名,19,26025,24 29 28 15 3,否,,0%
1259,26024,倒数5期两球组合,30,第1名,21,26025,24 29 28 15 3,否,,0%
1260,26024,倒数5期两球组合,30,最后1名,12,26025,24 29 28 15 3,否,,0%
1261,26024,最新一期两球组合,20,第1名,32,26025,24 29 28 15 3,否,,0%
1262,26024,最新一期两球组合,20,最后1名,30,26025,24 29 28 15 3,否,,0%
1263,26024,倒数2期两球组合,20,第1名,23,26025,24 29 28 15 3,否,,0%
1264,26024,倒数2期两球组合,20,最后1名,4 26,26025,24 29 28 15 3,否,,0%
1265,26024,倒数3期两球组合,20,第1名,2,26025,24 29 28 15 3,否,,0%
1266,26024,倒数3期两球组合,20,最后1名,16,26025,24 29 28 15 3,否,,0%
1267,26024,倒数4期两球组合,20,第1名,21,26025,24 29 28 15 3,否,,0%
1268,26024,倒数4期两球组合,20,最后1名,30,26025,24 29 28 15 3,否,,0%
1269,26024,倒数5期两球组合,20,第1名,8,26025,24 29 28 15 3,否,,0%
1270,26024,倒数5期两球组合,20,最后1名,15 12,26025,24 29 28 15 3,是,15,50.0%
1271,26024,最新一期两球组合,10,第1名,26,26025,24 29 28 15 3,否,,0%
1272,26024,最新一期两球组合,10,最后1名,30,26025,24 29 28 15 3,否,,0%
1273,26024,倒数2期两球组合,10,第1名,2,26025,24 29 28 15 3,否,,0%
1274,26024,倒数2期两球组合,10,最后1名,34,26025,24 29 28 15 3,否,,0%
1275,26024,倒数3期两球组合,10,第1名,2,26025,24 29 28 15 3,否,,0%
1276,26024,倒数3期两球组合,10,最后1名,33 5 20 32,26025,24 29 28 15 3,否,,0%
1277,26024,倒数4期两球组合,10,第1名,21,26025,24 29 28 15 3,否,,0%
1278,26024,倒数4期两球组合,10,最后1名,30 29,26025,24 29 28 15 3,是,29,50.0%
1279,26024,倒数5期两球组合,10,第1名,8,26025,24 29 28 15 3,否,,0%
1280,26024,倒数5期两球组合,10,最后1名,15 9 5,26025,24 29 28 15 3,是,15,33.3%
1281,26023,最新一期两球组合,50,第1名,24,26024,4 21 10 2 8,否,,0%
1282,26023,最新一期两球组合,50,最后1名,29,26024,4 21 10 2 8,否,,0%
1283,26023,倒数2期两球组合,50,第1名,27,26024,4 21 10 2 8,否,,0%
1284,26023,倒数2期两球组合,50,最后1名,8,26024,4 21 10 2 8,是,8,100.0%
1285,26023,倒数3期两球组合,50,第1名,27,26024,4 21 10 2 8,否,,0%
1286,26023,倒数3期两球组合,50,最后1名,2 22 29 32 8,26024,4 21 10 2 8,是,2 8,40.0%
1287,26023,倒数4期两球组合,50,第1名,29,26024,4 21 10 2 8,否,,0%
1288,26023,倒数4期两球组合,50,最后1名,6 23,26024,4 21 10 2 8,否,,0%
1289,26023,倒数5期两球组合,50,第1名,31,26024,4 21 10 2 8,否,,0%
1290,26023,倒数5期两球组合,50,最后1名,15,26024,4 21 10 2 8,否,,0%
1291,26023,最新一期两球组合,30,第1名,11,26024,4 21 10 2 8,否,,0%
1292,26023,最新一期两球组合,30,最后1名,29 9 14,26024,4 21 10 2 8,否,,0%
1293,26023,倒数2期两球组合,30,第1名,4,26024,4 21 10 2 8,是,4,100.0%
1294,26023,倒数2期两球组合,30,最后1名,30 19,26024,4 21 10 2 8,否,,0%
1295,26023,倒数3期两球组合,30,第1名,9,26024,4 21 10 2 8,否,,0%
1296,26023,倒数3期两球组合,30,最后1名,12,26024,4 21 10 2 8,否,,0%
1297,26023,倒数4期两球组合,30,第1名,16,26024,4 21 10 2 8,否,,0%
1298,26023,倒数4期两球组合,30,最后1名,6 10 24,26024,4 21 10 2 8,是,10,33.3%
1299,26023,倒数5期两球组合,30,第1名,31,26024,4 21 10 2 8,否,,0%
1300,26023,倒数5期两球组合,30,最后1名,15,26024,4 21 10 2 8,否,,0%
1301,26023,最新一期两球组合,20,第1名,7,26024,4 21 10 2 8,否,,0%
1302,26023,最新一期两球组合,20,最后1名,29 30,26024,4 21 10 2 8,否,,0%
1303,26023,倒数2期两球组合,20,第1名,25,26024,4 21 10 2 8,否,,0%
1304,26023,倒数2期两球组合,20,最后1名,5,26024,4 21 10 2 8,否,,0%
1305,26023,倒数3期两球组合,20,第1名,28,26024,4 21 10 2 8,否,,0%
1306,26023,倒数3期两球组合,20,最后1名,31 12,26024,4 21 10 2 8,否,,0%
1307,26023,倒数4期两球组合,20,第1名,26,26024,4 21 10 2 8,否,,0%
1308,26023,倒数4期两球组合,20,最后1名,23,26024,4 21 10 2 8,否,,0%
1309,26023,倒数5期两球组合,20,第1名,28,26024,4 21 10 2 8,否,,0%
1310,26023,倒数5期两球组合,20,最后1名,3 31 30 15,26024,4 21 10 2 8,否,,0%
1311,26023,最新一期两球组合,10,第1名,11,26024,4 21 10 2 8,否,,0%
1312,26023,最新一期两球组合,10,最后1名,29,26024,4 21 10 2 8,否,,0%
1313,26023,倒数2期两球组合,10,第1名,6,26024,4 21 10 2 8,否,,0%
1314,26023,倒数2期两球组合,10,最后1名,19 31 2 17 21 18,26024,4 21 10 2 8,是,2 21,33.3%
1315,26023,倒数3期两球组合,10,第1名,26,26024,4 21 10 2 8,否,,0%
1316,26023,倒数3期两球组合,10,最后1名,30 22 4 33 11 34 12,26024,4 21 10 2 8,是,4,14.3%
1317,26023,倒数4期两球组合,10,第1名,16,26024,4 21 10 2 8,否,,0%
1318,26023,倒数4期两球组合,10,最后1名,4 3 10 20,26024,4 21 10 2 8,是,4 10,50.0%
1319,26023,倒数5期两球组合,10,第1名,28,26024,4 21 10 2 8,否,,0%
1320,26023,倒数5期两球组合,10,最后1名,3 6 15 4 24,26024,4 21 10 2 8,是,4,20.0%
1321,26022,最新一期两球组合,50,第1名,10,26023,27 26 25 9 28,否,,0%
1322,26022,最新一期两球组合,50,最后1名,21,26023,27 26 25 9 28,否,,0%
1323,26022,倒数2期两球组合,50,第1名,19,26023,27 26 25 9 28,否,,0%
1324,26022,倒数2期两球组合,50,最后1名,13,26023,27 26 25 9 28,否,,0%
1325,26022,倒数3期两球组合,50,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1326,26022,倒数3期两球组合,50,最后1名,24 33 20,26023,27 26 25 9 28,否,,0%
1327,26022,倒数4期两球组合,50,第1名,31,26023,27 26 25 9 28,否,,0%
1328,26022,倒数4期两球组合,50,最后1名,1,26023,27 26 25 9 28,否,,0%
1329,26022,倒数5期两球组合,50,第1名,24,26023,27 26 25 9 28,否,,0%
1330,26022,倒数5期两球组合,50,最后1名,22 1,26023,27 26 25 9 28,否,,0%
1331,26022,最新一期两球组合,30,第1名,31,26023,27 26 25 9 28,否,,0%
1332,26022,最新一期两球组合,30,最后1名,34 22 21,26023,27 26 25 9 28,否,,0%
1333,26022,倒数2期两球组合,30,第1名,10,26023,27 26 25 9 28,否,,0%
1334,26022,倒数2期两球组合,30,最后1名,3 17,26023,27 26 25 9 28,否,,0%
1335,26022,倒数3期两球组合,30,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1336,26022,倒数3期两球组合,30,最后1名,7 24,26023,27 26 25 9 28,否,,0%
1337,26022,倒数4期两球组合,30,第1名,19,26023,27 26 25 9 28,否,,0%
1338,26022,倒数4期两球组合,30,最后1名,1 15 2,26023,27 26 25 9 28,否,,0%
1339,26022,倒数5期两球组合,30,第1名,26,26023,27 26 25 9 28,是,26,100.0%
1340,26022,倒数5期两球组合,30,最后1名,6 3 1 8,26023,27 26 25 9 28,否,,0%
1341,26022,最新一期两球组合,20,第1名,13,26023,27 26 25 9 28,否,,0%
1342,26022,最新一期两球组合,20,最后1名,33,26023,27 26 25 9 28,否,,0%
1343,26022,倒数2期两球组合,20,第1名,4,26023,27 26 25 9 28,否,,0%
1344,26022,倒数2期两球组合,20,最后1名,2,26023,27 26 25 9 28,否,,0%
1345,26022,倒数3期两球组合,20,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1346,26022,倒数3期两球组合,20,最后1名,4,26023,27 26 25 9 28,否,,0%
1347,26022,倒数4期两球组合,20,第1名,31,26023,27 26 25 9 28,否,,0%
1348,26022,倒数4期两球组合,20,最后1名,1,26023,27 26 25 9 28,否,,0%
1349,26022,倒数5期两球组合,20,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1350,26022,倒数5期两球组合,20,最后1名,22 27,26023,27 26 25 9 28,是,27,50.0%
1351,26022,最新一期两球组合,10,第1名,11,26023,27 26 25 9 28,否,,0%
1352,26022,最新一期两球组合,10,最后1名,33,26023,27 26 25 9 28,否,,0%
1353,26022,倒数2期两球组合,10,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1354,26022,倒数2期两球组合,10,最后1名,19 21,26023,27 26 25 9 28,否,,0%
1355,26022,倒数3期两球组合,10,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1356,26022,倒数3期两球组合,10,最后1名,3 28 32 4,26023,27 26 25 9 28,是,28,25.0%
1357,26022,倒数4期两球组合,10,第1名,26,26023,27 26 25 9 28,是,26,100.0%
1358,26022,倒数4期两球组合,10,最后1名,1,26023,27 26 25 9 28,否,,0%
1359,26022,倒数5期两球组合,10,第1名,9,26023,27 26 25 9 28,是,9,100.0%
1360,26022,倒数5期两球组合,10,最后1名,8,26023,27 26 25 9 28,否,,0%
1361,26021,最新一期两球组合,50,第1名,31,26022,9 10 5 26 18,否,,0%
1362,26021,最新一期两球组合,50,最后1名,26,26022,9 10 5 26 18,是,26,100.0%
1363,26021,倒数2期两球组合,50,第1名,12,26022,9 10 5 26 18,否,,0%
1364,26021,倒数2期两球组合,50,最后1名,8 24,26022,9 10 5 26 18,否,,0%
1365,26021,倒数3期两球组合,50,第1名,6,26022,9 10 5 26 18,否,,0%
1366,26021,倒数3期两球组合,50,最后1名,9,26022,9 10 5 26 18,是,9,100.0%
1367,26021,倒数4期两球组合,50,第1名,19,26022,9 10 5 26 18,否,,0%
1368,26021,倒数4期两球组合,50,最后1名,33,26022,9 10 5 26 18,否,,0%
1369,26021,倒数5期两球组合,50,第1名,17,26022,9 10 5 26 18,否,,0%
1370,26021,倒数5期两球组合,50,最后1名,25 1 20,26022,9 10 5 26 18,否,,0%
1371,26021,最新一期两球组合,30,第1名,20,26022,9 10 5 26 18,否,,0%
1372,26021,最新一期两球组合,30,最后1名,26,26022,9 10 5 26 18,是,26,100.0%
1373,26021,倒数2期两球组合,30,第1名,12,26022,9 10 5 26 18,否,,0%
1374,26021,倒数2期两球组合,30,最后1名,7 8 18,26022,9 10 5 26 18,是,18,33.3%
1375,26021,倒数3期两球组合,30,第1名,17,26022,9 10 5 26 18,否,,0%
1376,26021,倒数3期两球组合,30,最后1名,24,26022,9 10 5 26 18,否,,0%
1377,26021,倒数4期两球组合,30,第1名,14,26022,9 10 5 26 18,否,,0%
1378,26021,倒数4期两球组合,30,最后1名,20 21 16,26022,9 10 5 26 18,否,,0%
1379,26021,倒数5期两球组合,30,第1名,17,26022,9 10 5 26 18,否,,0%
1380,26021,倒数5期两球组合,30,最后1名,20,26022,9 10 5 26 18,否,,0%
1381,26021,最新一期两球组合,20,第1名,11,26022,9 10 5 26 18,否,,0%
1382,26021,最新一期两球组合,20,最后1名,19 26,26022,9 10 5 26 18,是,26,50.0%
1383,26021,倒数2期两球组合,20,第1名,12,26022,9 10 5 26 18,否,,0%
1384,26021,倒数2期两球组合,20,最后1名,5 29 7 18 31 19 24,26022,9 10 5 26 18,是,5 18,28.6%
1385,26021,倒数3期两球组合,20,第1名,17,26022,9 10 5 26 18,否,,0%
1386,26021,倒数3期两球组合,20,最后1名,10 18 22,26022,9 10 5 26 18,是,10 18,66.7%
1387,26021,倒数4期两球组合,20,第1名,14,26022,9 10 5 26 18,否,,0%
1388,26021,倒数4期两球组合,20,最后1名,20,26022,9 10 5 26 18,否,,0%
1389,26021,倒数5期两球组合,20,第1名,14,26022,9 10 5 26 18,否,,0%
1390,26021,倒数5期两球组合,20,最后1名,20,26022,9 10 5 26 18,否,,0%
1391,26021,最新一期两球组合,10,第1名,12,26022,9 10 5 26 18,否,,0%
1392,26021,最新一期两球组合,10,最后1名,18,26022,9 10 5 26 18,是,18,100.0%
1393,26021,倒数2期两球组合,10,第1名,12,26022,9 10 5 26 18,否,,0%
1394,26021,倒数2期两球组合,10,最后1名,9,26022,9 10 5 26 18,是,9,100.0%
1395,26021,倒数3期两球组合,10,第1名,17,26022,9 10 5 26 18,否,,0%
1396,26021,倒数3期两球组合,10,最后1名,10 31 3 30 26 6,26022,9 10 5 26 18,是,10 26,33.3%
1397,26021,倒数4期两球组合,10,第1名,17,26022,9 10 5 26 18,否,,0%
1398,26021,倒数4期两球组合,10,最后1名,20,26022,9 10 5 26 18,否,,0%
1399,26021,倒数5期两球组合,10,第1名,14,26022,9 10 5 26 18,否,,0%
